PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,MARKETINGCATEGORYNAME,LABELERNAME,SUBSTANCENAME,ACTIVEINGREDIENTSINFO,DEASCHEDULE,NDCPACKAGECODE,PACKAGEDESCRIPTION,REPORTINGPERIOD
71285-0219,HUMAN COMPOUNDED DRUG,Modified del Nido Microplegia,Modified del Nido Microplegia,SOLUTION,INTRACORONARY,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",MANNITOL; LIDOCAINE HYDROCHLORIDE; MAGNESIUM SULFATE HEPTAHYDRATE; SODIUM BICARBONATE,3.264 g/40 mL; 131 mg/40 mL; 16.362 meq/40 mL; 1.1 g/40 mL,,71285-0219-1,40 mL in 1 SYRINGE (71285-0219-1) ,2023-1
70092-087,HUMAN COMPOUNDED DRUG,Succinylcholine 20 mg/ml 10 ml syr,Succinylcholine 20 mg/ml 10 ml syr,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",SUCCINYLCHOLINE CHLORIDE,200 mg/10 mL,,70092-087-46,10 mL in 1 SYRINGE (70092-087-46) ,2023-1
70092-056,HUMAN COMPOUNDED DRUG,Vancomycin PF 1.5g add to 250ml NS bag,Vancomycin PF 1.5g add to 250ml NS bag,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",VANCOMYCIN HYDROCHLORIDE,1.5 g/250 mL,,70092-056-05,250 mL in 1 BAG (70092-056-05) ,2023-2
72196-6092,HUMAN COMPOUNDED DRUG,Phenylephrine 40mg added to NS,Phenylephrine 40mg added to NS,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",PHENYLEPHRINE HYDROCHLORIDE,40 mg/250 mL,,72196-6092-1,250 mL in 1 BAG (72196-6092-1) ,2023-2
70168-0101,HUMAN COMPOUNDED DRUG,Testo100mgCHOL,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,100 mg,CIII,70168-0101-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0101-1) ",2023-1
72682-8214,HUMAN COMPOUNDED DRUG,Testosterone 100mg/Anastrozole 4mg Pellet,Testosterone 100mg/Anastrozole 4mg Pellet,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),AnazaoHealth Corporation,ANASTROZOLE; TESTOSTERONE,1 mg/1 mg; 1 mg/1 mg,CIII,72682-8214-1,1 mg in 1 VIAL (72682-8214-1) ,2022-2
71285-7011,HUMAN COMPOUNDED DRUG,Phenylephrine 25mg added to NS,Phenylephrine 25mg added to NS,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",PHENYLEPHRINE HYDROCHLORIDE,25 mg/250 mL,,71285-7011-1,250 mL in 1 BAG (71285-7011-1) ,2022-2
71266-8221,HUMAN COMPOUNDED DRUG,"Tropicamide 1%, Cyclopentolate 1%, Phenylephrine 2.5%, Ketorolac 0.4%, Proparacaine 0.1%","Tropicamide 1%, Cyclopentolate 1%, Phenylephrine 2.5%, Ketorolac 0.4%, Proparacaine 0.1%",SOLUTION,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,PHENYLEPHRINE HYDROCHLORIDE; KETOROLAC TROMETHAMINE; TROPICAMIDE; CYCLOPENTOLATE HYDROCHLORIDE; PROPARACAINE HYDROCHLORIDE,25 mg/1 mL; 4 mg/1 mL; 10 mg/1 mL; 10 mg/1 mL; 1 mg/1 mL,,71266-8221-1,.5 mL in 1 SYRINGE (71266-8221-1) ,2023-1
79926-014,HUMAN COMPOUNDED DRUG,Desmopressin,Desmopressin,SOLUTION/ DROPS,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wedgewood Connect, LLC",DESMOPRESSIN ACETATE,.1 mg/1 mL,,79926-014-03,"10 mL in 1 BOTTLE, DROPPER (79926-014-03) ",2023-1
70168-0430,HUMAN COMPOUNDED DRUG,Anastrozole 10mg,Anastrozole,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",ANASTROZOLE,10 mg,,70168-0430-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0430-1) ",2023-2
70713-144,HUMAN COMPOUNDED DRUG,ESTRADIOL 18MG,ESTRADIOL 18MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wells Pharmacy, Inc",ESTRADIOL,18 mg,,70713-144-01,"1 PELLET, IMPLANTABLE in 1 BLISTER PACK (70713-144-01) ",2023-2
70168-2020,HUMAN COMPOUNDED DRUG,E2 10mg,Estradiol,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",ESTRADIOL,10 mg,,70168-2020-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-2020-1) ",2024-1
73693-365,HUMAN COMPOUNDED DRUG,"TESTOSTERONE, TRIAMCINOLONE 50MG,10MCG","TESTOSTERONE, TRIAMCINOLONE 50MG,10MCG","PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),FARMAKEIO OUTSOURCING LLC,TRIAMCINOLONE ACETONIDE; TESTOSTERONE,10 ug; 50 mg,CIII,73693-365-01,"1 PELLET, IMPLANTABLE in 1 POUCH (73693-365-01) ",2022-2
70168-3020,HUMAN COMPOUNDED DRUG,Progesterone 50mg,Progesterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",PROGESTERONE,50 mg,,70168-3020-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-3020-1) ",2024-1
72682-3720,HUMAN COMPOUNDED DRUG,Estradiol 20mg,Estradiol 20mg,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),AnazaoHealth Corporation,ESTRADIOL,20 mg/20 mg,,72682-3720-1,1 mg in 1 VIAL (72682-3720-1) ,2023-1
73198-011,HUMAN COMPOUNDED DRUG,Trimix Formula ST1,Papaverine-30mg/Phentolamine 1.5mg/Alprostadil 50mcg/ML,"INJECTION, SOLUTION",INTRACAVERNOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,PHENTOLAMINE MESYLATE; ALPROSTADIL; PAPAVERINE HYDROCHLORIDE,1.5 mg/1 mL; .05 mg/1 mL; 30 mg/1 mL,,73198-011-10,"10 mL in 1 VIAL, MULTI-DOSE (73198-011-10) ",2022-2
71285-8093,HUMAN COMPOUNDED DRUG,Epinephrine 4mg added to NS,Epinephrine 4mg added to NS,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",EPINEPHRINE,4 mg/250 mL,,71285-8093-1,250 mL in 1 BAG (71285-8093-1) ,2022-2
71266-9091,HUMAN COMPOUNDED DRUG,Lidocaine HCl 2%,Lidocaine HCl 2%,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,LIDOCAINE HYDROCHLORIDE,20 mg/1 mL,,71266-9091-1,"50 mL in 1 VIAL, GLASS (71266-9091-1) ",2022-2
72627-2431,HUMAN COMPOUNDED DRUG,Magnesium Chloride,Magnesium Chloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Empower Pharmacy,MAGNESIUM CHLORIDE,300 mg/1 mL,,72627-2431-1,"30 mL in 1 VIAL, MULTI-DOSE (72627-2431-1) ",2022-2
79926-006,HUMAN COMPOUNDED DRUG,Tacrolimus,Tacrolimus,SOLUTION/ DROPS,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wedgewood Connect, LLC",TACROLIMUS,.2 mg/1 mL,,79926-006-02,"5 mL in 1 BOTTLE, DROPPER (79926-006-02) ",2022-2
71286-2010,HUMAN COMPOUNDED DRUG,Hydromorphone HCL 0.2mg/ml in NS,Hydromorphone HCL 0.2mg/ml in NS,SOLUTION,EPIDURAL; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",HYDROMORPHONE HYDROCHLORIDE,.2 mg/1 mL,CII,71286-2010-1,30 mL in 1 SYRINGE (71286-2010-1) ,2022-2
60652-6030,HUMAN COMPOUNDED DRUG,Fentanyl citrate drip,Fentanyl citrate drip,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Ssm Hlth St Clare Hosp-Fnton,FENTANYL CITRATE,.05 mg/1 mL,CII,60652-6030-1,50 mL in 1 BAG (60652-6030-1) ,2023-1
73177-104,HUMAN COMPOUNDED DRUG,Hydromorphone Hydrochloride,Hydromorphone Hydrochloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,HYDROMORPHONE HYDROCHLORIDE,.2 mg/1 mL,CII,73177-104-28,50 mL in 1 BAG (73177-104-28) ,2023-1
81483-0034,HUMAN COMPOUNDED DRUG,BACTERIOSTATIC  WATER,WATER,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),TAILSTORM HEALTH INC,WATER,1 mg/1 mL,,81483-0034-0,"25 VIAL, SINGLE-DOSE in 1 TRAY (81483-0034-0)  > 10 mL in 1 VIAL, SINGLE-DOSE",2022-2
72627-2431,HUMAN COMPOUNDED DRUG,Magnesium Chloride,Magnesium Chloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Empower Pharmacy,MAGNESIUM CHLORIDE,300 mg/1 mL,,72627-2431-1,"30 mL in 1 VIAL, MULTI-DOSE (72627-2431-1) ",2023-1
71139-6030,HUMAN COMPOUNDED DRUG,Fentanyl Citrate CADD,Fentanyl Citrate CADD,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"IntegraDose Compounding Services, LLC",FENTANYL CITRATE,2500 ug/50 mL,CII,71139-6030-1,"50 mL in 1 VIAL, PATENT DELIVERY SYSTEM (71139-6030-1) ",2024-1
68985-540,HUMAN COMPOUNDED DRUG,HEPARIN,HEPARIN,SOLUTION,INTRAVENOUS; IRRIGATION,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),LEESAR INC,HEPARIN SODIUM,10 U/1 mL,,68985-540-91,1000 mL in 1 BAG (68985-540-91) ,2024-1
69194-978,HUMAN COMPOUNDED DRUG,978 PHENYLEPHRINE HCL 20MG/250ML,PHENYLEPHRINE HCL,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Pine Pharmaceuticals LLC,PHENYLEPHRINE HYDROCHLORIDE,20 mg/250 mL,,69194-978-10,10 BAG in 1 CASE (69194-978-10)  > 250 mL in 1 BAG (69194-978-01) ,2024-1
83826-9006,HUMAN COMPOUNDED DRUG,"Timolol , Brimonidine, Dorzolamide","Timolol 0.5%, Brimonidine Tartrate 0.1%, Dorzolamide 2%",SOLUTION,OPHTHALMIC; TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"OSRX, Inc.",TIMOLOL MALEATE; BRIMONIDINE TARTRATE; DORZOLAMIDE HYDROCHLORIDE,5 mg/1 mL; 1 mg/1 mL; 20 mg/1 mL,,83826-9006-5,"5 mL in 1 BOTTLE, DROPPER (83826-9006-5) ",2023-2
26436-6017,HUMAN COMPOUNDED DRUG,DHEA,Dehydroepiandosterone,CAPSULE,ORAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,PRASTERONE,2.5 mg,,26436-6017-1,1 CAPSULE in 1 CAPSULE (26436-6017-1) ,2023-1
72934-1315,HUMAN COMPOUNDED DRUG,Vardimaxia Gel,011220 NIACINAMIDE 2% / SPIRONOLACTONE 5% / TRETINOIN 0.05% Gel,GEL,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,TRETINOIN; NIACINAMIDE; SPIRONOLACTONE,.05 g/100 mL; 2 g/100 mL; 5 g/100 mL,,72934-1315-2,"30 mL in 1 BOTTLE, PUMP (72934-1315-2) ",2023-2
70168-0123,HUMAN COMPOUNDED DRUG,Testo200mgCHOL BLNT,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,200 mg,CIII,70168-0123-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0123-1) ",2024-1
70168-0051,HUMAN COMPOUNDED DRUG,Testo62.5mgCHOL,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,62.5 mg,CIII,70168-0051-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0051-1) ",2022-2
72907-2115,HUMAN COMPOUNDED DRUG,Methylprednisolone Acetate,Methylprednisolone Acetate,"INJECTION, SUSPENSION",EPIDURAL; INTRA-ARTICULAR; INTRABURSAL; INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Brookfield Medical Surgical Supply,METHYLPREDNISOLONE ACETATE,40 mg/40 mL,,72907-2115-5,"5 mL in 1 VIAL, SINGLE-USE (72907-2115-5) ",2024-1
26436-5031,HUMAN COMPOUNDED DRUG,Sermorelin,Sermorelin 1mg/mL,INJECTION,INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,SERMORELIN ACETATE,1 mg/1 mL,,26436-5031-9,"9 mL in 1 VIAL, MULTI-DOSE (26436-5031-9) ",2023-1
26436-5594,HUMAN COMPOUNDED DRUG,B12 MIC,Cyanocobalamin Methionine Inositol Choline Chloride,INJECTION,INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,METHIONINE; INOSITOL; CHOLINE CHLORIDE; CYANOCOBALAMIN,25 mg/1 mL; 50 mg/1 mL; 50 mg/1 mL; 1 mg/1 mL,,26436-5594-3,30 mL in 1 VIAL (26436-5594-3) ,2023-2
71300-6630,HUMAN COMPOUNDED DRUG,GABAPENTIN,GABAPENTIN,CREAM,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Nubratori, Inc",GABAPENTIN,100 mg/1 g,,71300-6630-2,1 CONTAINER in 1 BOX (71300-6630-2)  > 30 g in 1 CONTAINER,2022-2
73198-025,HUMAN COMPOUNDED DRUG,Trimix Formula SB6,Papaverine-30mg/Phentolamine-3mg/Alprostadil 60mcg/ML,"INJECTION, SOLUTION",INTRACAVERNOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,PHENTOLAMINE MESYLATE; ALPROSTADIL; PAPAVERINE HYDROCHLORIDE,3 mg/1 mL; .06 mg/1 mL; 30 mg/1 mL,,73198-025-03,"2.5 mL in 1 VIAL, MULTI-DOSE (73198-025-03) ",2022-2
72196-6010,HUMAN COMPOUNDED DRUG,Rocuronium 10mg/ml,Rocuronium 10mg/ml,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",ROCURONIUM BROMIDE,10 mg/1 mL,,72196-6010-1,5 mL in 1 SYRINGE (72196-6010-1) ,2022-2
73177-102,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,FENTANYL CITRATE,10 ug/1 mL,CII,73177-102-25,250 mL in 1 BAG (73177-102-25) ,2023-1
72196-0401,HUMAN COMPOUNDED DRUG,Trophamine 2% / Dextrose 10% With Calcium Gluconate 3.75 mEq 250ml in 250ml Bag,Trophamine 2% / Dextrose 10% With Calcium Gluconate 3.75 mEq 250ml in 250ml Bag,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",LYSINE ACETATE; SERINE; GLUTAMIC ACID; TYROSINE; N-ACETYLTYROSINE; THREONINE; CYSTEINE HYDROCHLORIDE; HISTIDINE; ARGININE; TAURINE; DEXTROSE MONOHYDRATE; CALCIUM GLUCONATE MONOHYDRATE; LEUCINE; METHIONINE; PROLINE; ASPARTIC ACID; ISOLEUCINE; ALANINE; GLYCINE; PHENYLALANINE; TRYPTOPHAN; VALINE,.6 g/250 mL; .19 g/250 mL; .25 g/250 mL; .022 g/250 mL; .12 g/250 mL; .21 g/250 mL; .012 g/250 mL; .24 g/250 mL; .6 g/250 mL; .0125 g/250 mL; 25 g/250 mL; 3.75 meq/250 mL; .7 g/250 mL; .17 g/250 mL; .34 g/250 mL; .16 g/250 mL; .41 g/250 mL; .27 g/250 mL; .18 g/250 mL; .24 g/250 mL; .1 g/250 mL; .39 g/250 mL,,72196-0401-1,250 mL in 1 BAG (72196-0401-1) ,2023-1
71170-050,HUMAN COMPOUNDED DRUG,Ketamine 50 mg per 5 mL Syringe (10 mg/mL),Ketamine 50 mg per 5 mL Syringe (10 mg/mL),"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Apollo Care, LLC",KETAMINE HYDROCHLORIDE,10 mg/1 mL,CIII,71170-050-05,"5 mL in 1 SYRINGE, PLASTIC (71170-050-05) ",2023-2
72682-3315,HUMAN COMPOUNDED DRUG,Edetate Disodium (PF) 150mg/ml 10mL,Edetate Disodium (PF) 150mg/ml 10mL,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),AnazaoHealth Corporation,EDETATE DISODIUM,150 mg/1 mL,,72682-3315-1,10 mL in 1 VIAL (72682-3315-1) ,2023-1
70004-380,HUMAN COMPOUNDED DRUG,Methadone 10mg/ml Inj solution,Methadone 10mg/ml Inj solution,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"SCA Pharmaceuticals, LLC",METHADONE HYDROCHLORIDE,10 mg/1 mL,CII,70004-380-05,1 mL in 1 SYRINGE (70004-380-05) ,2023-1
70092-523,HUMAN COMPOUNDED DRUG,Morphine 1 mg/ml 50 ml NS syr,Morphine 1 mg/ml 50 ml NS syr,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",MORPHINE SULFATE,50 mg/50 mL,CII,70092-523-50,50 mL in 1 SYRINGE (70092-523-50) ,2024-1
71300-6564,HUMAN COMPOUNDED DRUG,Dexamethasone sodium phosphate,Dexamethasone sodium phosphate,SOLUTION,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Nubratori, Inc",DEXAMETHASONE SODIUM PHOSPHATE,4 mg/1 mL,,71300-6564-1,1 BOTTLE in 1 BOX (71300-6564-1)  > 5 mL in 1 BOTTLE,2022-2
73702-204,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,INJECTION,INTRAMUSCULAR; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,FENTANYL,50 ug/1 mL,CII,73702-204-25,25 mL in 1 SYRINGE (73702-204-25) ,2023-2
73702-204,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,INJECTION,INTRAMUSCULAR; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,FENTANYL,50 ug/1 mL,CII,73702-204-15,5 mL in 1 SYRINGE (73702-204-15) ,2023-2
72055-014,HUMAN COMPOUNDED DRUG,Fentanyl/Ropivacaine,Fentanyl/Ropivacaine,"INJECTION, SOLUTION",EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Baycare Integrated Service Center, LLC /dba BayCare Central Pharmacy",ROPIVACAINE HYDROCHLORIDE; FENTANYL CITRATE,100 mg/100 mL; 200 ug/100 mL,CII,72055-014-01,100 mL in 1 BAG (72055-014-01) ,2024-1
71286-2001,HUMAN COMPOUNDED DRUG,Fentanyl 10mcg/ml in D5W,Fentanyl 10mcg/ml in D5W,SOLUTION,EPIDURAL; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",FENTANYL CITRATE,10 ug/1 mL,CII,71286-2001-2,30 mL in 1 SYRINGE (71286-2001-2) ,2022-2
71286-2071,HUMAN COMPOUNDED DRUG,Fentanyl 10mcg/ml in NS,Fentanyl 10mcg/ml in NS,SOLUTION,EPIDURAL; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",FENTANYL CITRATE,10 ug/1 mL,CII,71286-2071-7,1 mL in 1 SYRINGE (71286-2071-7) ,2023-1
72196-0211,HUMAN COMPOUNDED DRUG,Maintenance 4 to1 Low K (30 meq) In PL A,Maintenance 4 to1 Low K (30 meq) In PL A,SOLUTION,INTRACORONARY,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",LIDOCAINE HYDROCHLORIDE; SODIUM BICARBONATE; SODIUM ACETATE; POTASSIUM CHLORIDE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM GLUCONATE,200 mg/1047 mL; 1.848 g/1047 mL; 3.68 g/1047 mL; 2.605 g/1047 mL; .3 g/1047 mL; 5.26 g/1047 mL; 5.02 g/1047 mL,,72196-0211-1,1047 mL in 1 BAG (72196-0211-1) ,2023-1
70092-104,HUMAN COMPOUNDED DRUG,Fent 2 mcg/ml-Bup 0.125% PF 100ml NS IVB,Fent 2 mcg/ml-Bup 0.125% PF 100ml NS IVB,INJECTION,EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",FENTANYL CITRATE; BUPIVACAINE HYDROCHLORIDE,200 ug/100 mL; 125 mg/100 mL,CII,70092-104-36,100 mL in 1 BAG (70092-104-36) ,2023-1
73702-111,HUMAN COMPOUNDED DRUG,Lidocaine,Lidocaine HCl,INJECTION,EPIDURAL; INFILTRATION; INTRACAUDAL; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,LIDOCAINE,20 mg/1 mL,,73702-111-15,5 mL in 1 SYRINGE (73702-111-15) ,2023-2
72907-2115,HUMAN COMPOUNDED DRUG,Methylprednisolone Acetate,Methylprednisolone Acetate,"INJECTION, SUSPENSION",EPIDURAL; INTRA-ARTICULAR; INTRABURSAL; INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Brookfield Medical Surgical Supply,METHYLPREDNISOLONE ACETATE,40 mg/40 mL,,72907-2115-3,"3 mL in 1 VIAL, SINGLE-USE (72907-2115-3) ",2024-1
71266-6487,HUMAN COMPOUNDED DRUG,Omnipaque (Iohexol) 240,Iohexol,INJECTION,INTRATHECAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,IOHEXOL,240 mg/1 mL,,71266-6487-5,5 mL in 1 VIAL (71266-6487-5) ,2022-2
